irmã,f,sister
irmão,m,brother,
avó,f,grandma
avô,m,grandpa
diferença,f,difference
mulher,f,wife
marido,m,husband
copo,m,glass
jarro,m,pitcher
aluno/a,m/f,student
palavra,f,wordaqua
camisola,f,sweater
caneta,f,pen
Hungria,f,Hungary
mãe,f,mom
pai,m,dad
prédio,m,building
banco,m,bank
primo,m,cousin
sopa,f,soup
manhã,f,morning
empregado,m,employee
bolo,m,cake
criança,f,child / baby
